t,err,px,py,pz,qw,qx,qy,qz,u1,u2,u3,u4,u5,u6
13.500000000,0.000059604,1.207809963,-0.050311615,-0.910940950,-0.171779993,0.687094482,0.424834728,0.563833539,0.439260504,0.000000000,0.000000000,0.221214411,0.174482698,0.174482698
13.600000000,0.000058552,1.189816911,-0.038178799,-0.914780898,-0.192054825,0.695401337,0.415008547,0.554346309,0.436923195,0.000000000,0.000000000,0.224974445,0.183289851,0.183289851
13.700000000,0.000057530,1.171480739,-0.026001941,-0.917565759,-0.212205359,0.703169414,0.405101447,0.544439600,0.433424451,0.000000000,0.000000000,0.228258823,0.191680253,0.191680253
13.800000000,0.000056540,1.152806729,-0.013795083,-0.919292323,-0.232133975,0.710361610,0.395171098,0.534172261,0.428791579,0.000000000,0.000000000,0.231050850,0.199566948,0.199566948
13.900000000,0.000055586,1.133800260,-0.001572301,-0.919958600,-0.251747700,0.716950614,0.385276674,0.523609393,0.423074984,0.000000000,0.000000000,0.233344401,0.206874324,0.206874324
14.000000000,0.000054672,1.114466810,0.010652309,-0.919563822,-0.270960691,0.722919387,0.375477137,0.512820421,0.416345711,0.000000000,0.000000000,0.235143765,0.213539995,0.213539995
14.100000000,0.000053799,1.094811947,0.022864650,-0.918108445,-0.289696298,0.728261131,0.365829555,0.501876994,0.408691965,0.000000000,0.000000000,0.236462943,0.219515900,0.219515900
14.200000000,0.000052973,1.074841336,0.035050640,-0.915594147,-0.307888614,0.732978796,0.356387560,0.490850887,0.400214935,0.000000000,0.000000000,0.237324500,0.224768637,0.224768637
14.300000000,0.000052197,1.054560733,0.047196223,-0.912023828,-0.325483435,0.737084189,0.347200039,0.479812010,0.391024258,0.000000000,0.000000000,0.237758071,0.229279031,0.229279031
14.400000000,0.000051477,1.033975982,0.059287394,-0.907401606,-0.342438665,0.740596786,0.338310106,0.468826657,0.381233497,0.000000000,0.000000000,0.237798676,0.233041097,0.233041097
14.500000000,0.000050819,1.013093018,0.071310206,-0.901732810,-0.358724184,0.743542364,0.329754399,0.457956055,0.370955924,0.000000000,0.000000000,0.237484980,0.236060521,0.236060521
14.600000000,0.000050229,0.991917862,0.083250793,-0.895023980,-0.374321278,0.745951556,0.321562706,0.447255277,0.360300860,0.000000000,0.000000000,0.236857622,0.238352839,0.238352839
14.700000000,0.000049713,0.970456620,0.095095383,-0.887282850,-0.389221715,0.747858417,0.313757896,0.436772512,0.349370719,0.000000000,0.000000000,0.235957700,0.239941486,0.239941486
14.800000000,0.000049280,0.948715482,0.106830312,-0.878518347,-0.403426581,0.749299097,0.306356111,0.426548696,0.338258810,0.000000000,0.000000000,0.234825494,0.240855846,0.240855846
14.900000000,0.000048937,0.926700718,0.118442045,-0.868740581,-0.416944985,0.750310649,0.299367188,0.416617445,0.327047918,0.000000000,0.000000000,0.233499441,0.241129431,0.241129431
15.000000000,0.000048690,0.904418680,0.129917187,-0.857960825,-0.429792694,0.750930028,0.292795226,0.407005268,0.315809572,0.000000000,0.000000000,0.232015388,0.240798258,0.240798258
